2026-07-10 04:30:44,561 | INFO | application | Voda EHRs backend started in development mode.
2026-07-10 04:34:33,562 | INFO | application | Voda EHRs backend started in development mode.
2026-07-10 04:40:29,948 | INFO | application | Voda EHRs backend started in development mode.
2026-07-10 23:02:03,130 | INFO | application | Voda EHRs backend started in development mode.
2026-07-11 01:14:29,277 | INFO | application | Voda EHRs backend started in development mode.
2026-07-11 01:32:02,451 | INFO | application | Voda EHRs backend started in development mode.
2026-07-13 22:55:08,448 | INFO | application | Voda EHRs backend started in development mode.
2026-07-13 22:55:09,033 | INFO | application | Voda EHRs backend started in development mode.
2026-07-13 22:55:09,549 | INFO | application | Voda EHRs backend started in development mode.
2026-07-13 22:55:33,404 | INFO | application | Voda EHRs backend started in development mode.
2026-07-13 22:55:35,698 | INFO | application | Voda EHRs backend started in development mode.
2026-07-13 22:56:02,295 | INFO | application | Voda EHRs backend started in development mode.
2026-07-13 22:56:03,565 | INFO | application | Voda EHRs backend started in development mode.
2026-07-13 22:58:21,112 | INFO | application | Voda EHRs backend started in development mode.
2026-07-13 22:58:21,561 | INFO | application | Voda EHRs backend started in development mode.
2026-07-13 22:59:24,908 | INFO | application | Voda EHRs backend started in development mode.
2026-07-13 22:59:49,796 | INFO | application | Voda EHRs backend started in development mode.
2026-07-13 22:59:51,441 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 12:43:16,327 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:42:05,723 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:42:06,188 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:42:10,170 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:42:15,362 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:42:20,878 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:42:21,931 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:42:22,379 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:42:26,282 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:42:29,789 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:42:33,785 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:42:35,660 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:42:36,109 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:42:38,687 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:42:43,615 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:42:48,504 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:42:50,864 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:42:54,856 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:43:04,198 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:43:08,689 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:43:32,358 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:43:34,843 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:43:40,444 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:43:43,648 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:45:34,118 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:45:34,583 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:45:35,938 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:45:36,365 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:45:38,940 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:45:39,420 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:45:41,700 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:45:55,781 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:45:58,551 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:46:05,591 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:46:08,707 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:46:11,890 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:46:21,942 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:46:33,184 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:46:38,073 | INFO | application | Voda EHRs backend started in development mode.
2026-07-14 13:46:49,949 | INFO | application | Voda EHRs backend started in development mode.
