2026-07-17 02:36:03,901 | INFO | audit | action=auth.login user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T01:36:03.901006+00:00
2026-07-17 03:04:46,488 | INFO | audit | action=auth.login user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T02:04:46.488958+00:00
2026-07-17 03:06:20,453 | INFO | audit | action=user.create user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=59ada717-b268-40ef-934e-99bd88cf9e6f ip=None ts=2026-07-17T02:06:20.453272+00:00
2026-07-17 03:06:30,807 | INFO | audit | action=auth.logout user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T02:06:30.807891+00:00
2026-07-17 03:06:53,650 | INFO | audit | action=auth.login user_id=59ada717-b268-40ef-934e-99bd88cf9e6f patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T02:06:53.650199+00:00
2026-07-17 03:10:39,741 | INFO | audit | action=auth.logout user_id=59ada717-b268-40ef-934e-99bd88cf9e6f patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T02:10:39.741758+00:00
2026-07-17 03:11:05,236 | INFO | audit | action=auth.login user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T02:11:05.236900+00:00
2026-07-17 03:12:06,218 | INFO | audit | action=user.create user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=c6d1ab12-a9f7-4327-aa57-2bd7c6d56ac2 ip=None ts=2026-07-17T02:12:06.218765+00:00
2026-07-17 03:12:10,730 | INFO | audit | action=auth.logout user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T02:12:10.730539+00:00
2026-07-17 03:12:33,511 | INFO | audit | action=auth.login user_id=c6d1ab12-a9f7-4327-aa57-2bd7c6d56ac2 patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T02:12:33.511474+00:00
2026-07-17 03:13:38,747 | INFO | audit | action=auth.logout user_id=c6d1ab12-a9f7-4327-aa57-2bd7c6d56ac2 patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T02:13:38.746937+00:00
2026-07-17 11:40:14,673 | INFO | audit | action=auth.login user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T10:40:14.672848+00:00
2026-07-17 11:40:54,731 | INFO | audit | action=auth.logout user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T10:40:54.731848+00:00
2026-07-17 13:37:35,496 | INFO | audit | action=auth.login user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T12:37:35.496678+00:00
2026-07-17 13:39:07,210 | INFO | audit | action=auth.login user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T12:39:07.210823+00:00
2026-07-17 13:39:11,039 | INFO | audit | action=auth.logout user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T12:39:11.039695+00:00
